Entry	Protein names	Organism
O43464	Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)	Homo sapiens (Human)
O43474	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)	Homo sapiens (Human)
O43521	Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death)	Homo sapiens (Human)
O43525	Potassium voltage-gated channel subfamily KQT member 3 (KQT-like 3) (Potassium channel subunit alpha KvLQT3) (Voltage-gated potassium channel subunit Kv7.3)	Homo sapiens (Human)
O43526	Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2)	Homo sapiens (Human)
O43529	Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST)	Homo sapiens (Human)
O43543	DNA repair protein XRCC2 (X-ray repair cross-complementing protein 2)	Homo sapiens (Human)
O43548	Protein-glutamine gamma-glutamyltransferase 5 (EC 2.3.2.13) (Transglutaminase X) (TG(X)) (TGX) (TGase X) (Transglutaminase-5) (TGase-5)	Homo sapiens (Human)
O43556	Epsilon-sarcoglycan (Epsilon-SG)	Homo sapiens (Human)
O43566	Regulator of G-protein signaling 14 (RGS14)	Homo sapiens (Human)
O43581	Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII)	Homo sapiens (Human)
O43593	Lysine-specific demethylase hairless (EC 1.14.11.65) ([histone H3]-dimethyl-L-lysine(9) demethylase hairless)	Homo sapiens (Human)
O43598	5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1) (c-Myc-responsive protein RCL)	Homo sapiens (Human)
O43603	Galanin receptor type 2 (GAL2-R) (GALR-2)	Homo sapiens (Human)
O43609	Protein sprouty homolog 1 (Spry-1)	Homo sapiens (Human)
O43715	TP53-regulated inhibitor of apoptosis 1 (Protein 15E1.1) (WF-1) (p53-inducible cell-survival factor) (p53CSV)	Homo sapiens (Human)
O43719	17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1) (Tat-SF1)	Homo sapiens (Human)
O43761	Synaptogyrin-3	Homo sapiens (Human)
O43763	T-cell leukemia homeobox protein 2 (Homeobox protein Hox-11L1) (Neural crest homeobox protein)	Homo sapiens (Human)
O43808	Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17)	Homo sapiens (Human)
O43818	U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K)	Homo sapiens (Human)
O43823	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	Homo sapiens (Human)
O43825	Beta-1,3-galactosyltransferase 2 (Beta-1,3-GalTase 2) (Beta3Gal-T2) (Beta3GalT2) (EC 2.4.1.86) (UDP-galactose:2-acetamido-2-deoxy-D-glucose 3beta-galactosyltransferase 2)	Homo sapiens (Human)
O43826	Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19)	Homo sapiens (Human)
O43827	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	Homo sapiens (Human)
O43854	EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)	Homo sapiens (Human)
O43865	S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)	Homo sapiens (Human)
O43866	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	Homo sapiens (Human)
O43868	Sodium/nucleoside cotransporter 2 (Concentrative nucleoside transporter 2) (CNT 2) (hCNT2) (Na(+)/nucleoside cotransporter 2) (Sodium-coupled nucleoside transporter 2) (Sodium/purine nucleoside co-transporter) (SPNT) (Solute carrier family 28 member 2)	Homo sapiens (Human)
O43897	Tolloid-like protein 1 (EC 3.4.24.-)	Homo sapiens (Human)
O43903	Growth arrest-specific protein 2 (GAS-2)	Homo sapiens (Human)
O43913	Origin recognition complex subunit 5	Homo sapiens (Human)
O43914	TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12) (Killer-activating receptor-associated protein) (KAR-associated protein)	Homo sapiens (Human)
O60235	Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain]	Homo sapiens (Human)
O60264	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	Homo sapiens (Human)
O60266	Adenylate cyclase type 3 (EC 4.6.1.1) (ATP pyrophosphate-lyase 3) (Adenylate cyclase type III) (AC-III) (Adenylate cyclase, olfactive type) (Adenylyl cyclase 3) (AC3)	Homo sapiens (Human)
O60281	Zinc finger protein 292	Homo sapiens (Human)
O60284	Suppression of tumorigenicity 18 protein (Zinc finger protein 387)	Homo sapiens (Human)
O60307	Microtubule-associated serine/threonine-protein kinase 3 (EC 2.7.11.1)	Homo sapiens (Human)
O60315	Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (SMADIP1) (Zinc finger homeobox protein 1b)	Homo sapiens (Human)
O60381	HMG box-containing protein 1 (HMG box transcription factor 1) (High mobility group box transcription factor 1)	Homo sapiens (Human)
O60393	Homeobox protein NOBOX	Homo sapiens (Human)
O60449	Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205)	Homo sapiens (Human)
O60469	Cell adhesion molecule DSCAM (CHD2) (Down syndrome cell adhesion molecule)	Homo sapiens (Human)
O60481	Zinc finger protein ZIC 3 (Zinc finger protein 203) (Zinc finger protein of the cerebellum 3)	Homo sapiens (Human)
O60502	Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT)	Homo sapiens (Human)
O60519	cAMP-responsive element-binding protein-like 2	Homo sapiens (Human)
O60548	Forkhead box protein D2 (Forkhead-related protein FKHL17) (Forkhead-related transcription factor 9) (FREAC-9)	Homo sapiens (Human)
O60568	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)]	Homo sapiens (Human)
O60635	Tetraspanin-1 (Tspan-1) (Tetraspan NET-1) (Tetraspanin TM4-C)	Homo sapiens (Human)
O60636	Tetraspanin-2 (Tspan-2) (Tetraspan NET-3)	Homo sapiens (Human)
O60667	Immunoglobulin mu Fc receptor (IgM FcR) (Fas apoptotic inhibitory molecule 3) (FAIM3) (Regulator of Fas-induced apoptosis Toso)	Homo sapiens (Human)
O60678	Protein arginine N-methyltransferase 3 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3)	Homo sapiens (Human)
O60682	Musculin (Activated B-cell factor 1) (ABF-1) (Class A basic helix-loop-helix protein 22) (bHLHa22)	Homo sapiens (Human)
O60687	Sushi repeat-containing protein SRPX2 (Sushi-repeat protein upregulated in leukemia)	Homo sapiens (Human)
O60706	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	Homo sapiens (Human)
O60729	Dual specificity protein phosphatase CDC14B (EC 3.1.3.16) (EC 3.1.3.48) (CDC14 cell division cycle 14 homolog B)	Homo sapiens (Human)
O60741	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 (Brain cyclic nucleotide-gated channel 1) (BCNG-1)	Homo sapiens (Human)
O60759	Cytohesin-interacting protein (Cytohesin binder and regulator) (CYBR) (Cytohesin-associated scaffolding protein) (CASP) (Cytohesin-binding protein HE) (Cbp HE) (Pleckstrin homology Sec7 and coiled-coil domains-binding protein)	Homo sapiens (Human)
O60784	Target of Myb1 membrane trafficking protein (Target of Myb protein 1)	Homo sapiens (Human)
O60814	Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1)	Homo sapiens (Human)
O60831	PRA1 family protein 2	Homo sapiens (Human)
O60879	Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2)	Homo sapiens (Human)
O60882	Matrix metalloproteinase-20 (MMP-20) (EC 3.4.24.-) (Enamel metalloproteinase) (Enamelysin)	Homo sapiens (Human)
O60884	DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14)	Homo sapiens (Human)
O60909	Beta-1,4-galactosyltransferase 2 (Beta-1,4-GalTase 2) (Beta4Gal-T2) (b4Gal-T2) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2)	Homo sapiens (Human)
O60921	Checkpoint protein HUS1 (hHUS1)	Homo sapiens (Human)
O60930	Ribonuclease H1 (RNase H1) (EC 3.1.26.4) (Ribonuclease H type II)	Homo sapiens (Human)
O60938	Keratocan (KTN) (Keratan sulfate proteoglycan keratocan)	Homo sapiens (Human)
O60939	Sodium channel regulatory subunit beta-2	Homo sapiens (Human)
O60941	Dystrobrevin beta (DTN-B) (Beta-dystrobrevin)	Homo sapiens (Human)
O60942	mRNA-capping enzyme (HCAP1) (HCE) [Includes: mRNA 5'-triphosphate monophosphatase (EC 3.6.1.74) (mRNA 5'-phosphatase); mRNA guanylyltransferase (EC 2.7.7.50) (GTP--RNA guanylyltransferase) (GTase)]	Homo sapiens (Human)
O75019	Leukocyte immunoglobulin-like receptor subfamily A member 1 (CD85 antigen-like family member I) (Leukocyte immunoglobulin-like receptor 6) (LIR-6) (CD antigen CD85i)	Homo sapiens (Human)
O75022	Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a)	Homo sapiens (Human)
O75072	Ribitol-5-phosphate transferase FKTN (EC 2.7.8.-) (Fukutin) (Fukuyama-type congenital muscular dystrophy protein) (Ribitol-5-phosphate transferase)	Homo sapiens (Human)
O75077	Disintegrin and metalloproteinase domain-containing protein 23 (ADAM 23) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3) (MDC-3)	Homo sapiens (Human)
O75132	Zinc finger BED domain-containing protein 4	Homo sapiens (Human)
O75151	Lysine-specific demethylase PHF2 (EC 1.14.11.-) (GRC5) (PHD finger protein 2)	Homo sapiens (Human)
O75159	Suppressor of cytokine signaling 5 (SOCS-5) (Cytokine-inducible SH2 protein 6) (CIS-6) (Cytokine-inducible SH2-containing protein 5)	Homo sapiens (Human)
O75175	CCR4-NOT transcription complex subunit 3 (CCR4-associated factor 3) (Leukocyte receptor cluster member 2)	Homo sapiens (Human)
O75177	Calcium-responsive transactivator (SS18-like protein 1) (SYT homolog 1)	Homo sapiens (Human)
O75190	DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)	Homo sapiens (Human)
O75191	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	Homo sapiens (Human)
O75309	Cadherin-16 (Kidney-specific cadherin) (Ksp-cadherin)	Homo sapiens (Human)
O75319	RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1)	Homo sapiens (Human)
O75334	Liprin-alpha-2 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-2) (PTPRF-interacting protein alpha-2)	Homo sapiens (Human)
O75339	Cartilage intermediate layer protein 1 (CILP-1) (Cartilage intermediate-layer protein) [Cleaved into: Cartilage intermediate layer protein 1 C1; Cartilage intermediate layer protein 1 C2]	Homo sapiens (Human)
O75344	Inactive peptidyl-prolyl cis-trans isomerase FKBP6 (Inactive PPIase FKBP6) (36 kDa FK506-binding protein) (36 kDa FKBP) (FKBP-36) (FK506-binding protein 6) (FKBP-6) (Immunophilin FKBP36)	Homo sapiens (Human)
O75365	Protein tyrosine phosphatase type IVA 3 (EC 3.1.3.48) (PRL-R) (Protein-tyrosine phosphatase 4a3) (Protein-tyrosine phosphatase of regenerating liver 3) (PRL-3)	Homo sapiens (Human)
O75367	Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (Histone H2A.y) (H2A/y) (Medulloblastoma antigen MU-MB-50.205)	Homo sapiens (Human)
O75369	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	Homo sapiens (Human)
O75376	Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)	Homo sapiens (Human)
O75379	Vesicle-associated membrane protein 4 (VAMP-4)	Homo sapiens (Human)
O75390	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	Homo sapiens (Human)
O75396	Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1)	Homo sapiens (Human)
O75438	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 (Complex I-MNLL) (CI-MNLL) (NADH-ubiquinone oxidoreductase MNLL subunit)	Homo sapiens (Human)
O75443	Alpha-tectorin	Homo sapiens (Human)
O75449	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin)	Homo sapiens (Human)
O75469	Nuclear receptor subfamily 1 group I member 2 (Orphan nuclear receptor PAR1) (Orphan nuclear receptor PXR) (Pregnane X receptor) (Steroid and xenobiotic receptor) (SXR)	Homo sapiens (Human)
O75475	PC4 and SFRS1-interacting protein (CLL-associated antigen KW-7) (Dense fine speckles 70 kDa protein) (DFS 70) (Lens epithelium-derived growth factor) (Transcriptional coactivator p75/p52)	Homo sapiens (Human)
O75486	Transcription initiation protein SPT3 homolog (SPT3-like protein)	Homo sapiens (Human)
O75503	Bis(monoacylglycero)phosphate synthase CLN5 (BMP synthase CLN5) (EC 2.3.1.-) (Ceroid-lipofuscinosis neuronal protein 5) (Protein CLN5) (Palmitoyl protein thioesterase CLN5) (EC 3.1.2.22) (S-depalmitoylase CLN5) [Cleaved into: Bis(monoacylglycero)phosphate synthase CLN5, secreted form]	Homo sapiens (Human)
O75554	WW domain-binding protein 4 (WBP-4) (Formin-binding protein 21) (WW domain-containing-binding protein 4)	Homo sapiens (Human)
O75558	Syntaxin-11	Homo sapiens (Human)
O75564	Jerky protein homolog	Homo sapiens (Human)
O75594	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)	Homo sapiens (Human)
O75610	Left-right determination factor 1 (Left-right determination factor B) (Protein lefty-1) (Protein lefty-B)	Homo sapiens (Human)
O75618	Death effector domain-containing protein (DEDPro1) (Death effector domain-containing testicular molecule) (FLDED-1)	Homo sapiens (Human)
O75628	GTP-binding protein REM 1 (GTPase-regulating endothelial cell sprouting) (Rad and Gem-like GTP-binding protein 1)	Homo sapiens (Human)
O75629	Protein CREG1 (Cellular repressor of E1A-stimulated genes 1)	Homo sapiens (Human)
O75638	Cancer/testis antigen 2 (CT2) (Autoimmunogenic cancer/testis antigen NY-ESO-2) (Cancer/testis antigen 6.2) (CT6.2) (L antigen family member 1) (LAGE-1)	Homo sapiens (Human)
O75648	Mitochondrial tRNA-specific 2-thiouridylase 1 (EC 2.8.1.14) (MTO2 homolog)	Homo sapiens (Human)
O75674	TOM1-like protein 1 (Src-activating and signaling molecule protein) (Target of Myb-like protein 1)	Homo sapiens (Human)
O75679	Ret finger protein-like 3	Homo sapiens (Human)
O75683	Surfeit locus protein 6	Homo sapiens (Human)
O75752	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1 (Beta-1,3-GalNAc-T1) (EC 2.4.1.79) (Beta-1,3-galactosyltransferase 3) (Beta-1,3-GalTase 3) (Beta3Gal-T3) (Beta3GalT3) (b3Gal-T3) (Beta-3-Gx-T3) (Galactosylgalactosylglucosylceramide beta-D-acetyl-galactosaminyltransferase) (Globoside synthase) (UDP-N-acetylgalactosamine:globotriaosylceramide beta-1,3-N-acetylgalactosaminyltransferase)	Homo sapiens (Human)
O75762	Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor)	Homo sapiens (Human)
O75781	Paralemmin-1 (Paralemmin)	Homo sapiens (Human)
O75807	Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34) (Myeloid differentiation primary response protein MyD116 homolog)	Homo sapiens (Human)
O75815	Breast cancer anti-estrogen resistance protein 3 (Novel SH2-containing protein 2) (SH2 domain-containing protein 3B)	Homo sapiens (Human)
O75821	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44)	Homo sapiens (Human)
O75828	Carbonyl reductase [NADPH] 3 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase 3) (Quinone reductase CBR3) (EC 1.6.5.10) (Short chain dehydrogenase/reductase family 21C member 2)	Homo sapiens (Human)
O75838	Calcium and integrin-binding family member 2 (Kinase-interacting protein 2) (KIP 2)	Homo sapiens (Human)
O75864	Protein phosphatase 1 regulatory subunit 37 (Leucine-rich repeat-containing protein 68)	Homo sapiens (Human)
O75879	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112 homolog)	Homo sapiens (Human)
O75882	Attractin (DPPT-L) (Mahogany homolog)	Homo sapiens (Human)
O75884	Serine hydrolase RBBP9 (EC 3.-.-.-) (B5T-overexpressed gene protein) (Protein BOG) (Retinoblastoma-binding protein 10) (RBBP-10) (Retinoblastoma-binding protein 9) (RBBP-9)	Homo sapiens (Human)
O75897	Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.1) (Sulfotransferase 1C2) (SULT1C#2)	Homo sapiens (Human)
O75928	E3 SUMO-protein ligase PIAS2 (EC 2.3.2.-) (Androgen receptor-interacting protein 3) (ARIP3) (DAB2-interacting protein) (DIP) (E3 SUMO-protein transferase PIAS2) (Msx-interacting zinc finger protein) (Miz1) (PIAS-NY protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2)	Homo sapiens (Human)
O75935	Dynactin subunit 3 (Dynactin complex subunit 22 kDa subunit) (p22)	Homo sapiens (Human)
O75952	Calcium-binding tyrosine phosphorylation-regulated protein (Calcium-binding protein 86) (Cancer/testis antigen 88) (CT88) (Fibrousheathin II) (Fibrousheathin-2) (FSP-2) (Testis-specific calcium-binding protein CBP86)	Homo sapiens (Human)
O75956	Cyclin-dependent kinase 2-associated protein 2 (CDK2-associated protein 2) (DOC-1-related protein) (DOC-1R)	Homo sapiens (Human)
O75964	ATP synthase F(0) complex subunit g, mitochondrial (ATPase subunit g) (ATP synthase membrane subunit g)	Homo sapiens (Human)
O75969	A-kinase anchor protein 3 (AKAP-3) (A-kinase anchor protein 110 kDa) (AKAP 110) (Cancer/testis antigen 82) (CT82) (Fibrous sheath protein of 95 kDa) (FSP95) (Fibrousheathin I) (Fibrousheathin-1) (Protein kinase A-anchoring protein 3) (PRKA3) (Sperm oocyte-binding protein)	Homo sapiens (Human)
O76027	Annexin A9 (Annexin XXXI) (Annexin-31) (Annexin-9) (Pemphaxin)	Homo sapiens (Human)
O76039	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)	Homo sapiens (Human)
O76074	cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35) (cGMP-binding cGMP-specific phosphodiesterase) (CGB-PDE)	Homo sapiens (Human)
O76075	DNA fragmentation factor subunit beta (EC 3.-.-.-) (Caspase-activated deoxyribonuclease) (CAD) (Caspase-activated DNase) (Caspase-activated nuclease) (CPAN) (DNA fragmentation factor 40 kDa subunit) (DFF-40)	Homo sapiens (Human)
O76093	Fibroblast growth factor 18 (FGF-18) (zFGF5)	Homo sapiens (Human)
O77932	Decapping and exoribonuclease protein (DXO) (EC 3.6.1.-) (5'-3' exoribonuclease DXO) (EC 3.1.13.-) (Dom-3 homolog Z) (NAD-capped RNA hydrolase DXO) (DeNADding enzyme DXO) (EC 3.6.1.-)	Homo sapiens (Human)
O94762	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ5) (RecQ protein-like 5)	Homo sapiens (Human)
O94768	Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)	Homo sapiens (Human)
O94805	Actin-like protein 6B (53 kDa BRG1-associated factor B) (Actin-related protein Baf53b) (ArpNalpha) (BRG1-associated factor 53B) (BAF53B)	Homo sapiens (Human)
O94808	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2)	Homo sapiens (Human)
O94810	Regulator of G-protein signaling 11 (RGS11)	Homo sapiens (Human)
O94818	Nucleolar protein 4 (Nucleolar-localized protein)	Homo sapiens (Human)
O94876	Transmembrane and coiled-coil domains protein 1	Homo sapiens (Human)
O94889	Kelch-like protein 18	Homo sapiens (Human)
O94898	Leucine-rich repeats and immunoglobulin-like domains protein 2 (LIG-2)	Homo sapiens (Human)
O94901	SUN domain-containing protein 1 (Protein unc-84 homolog A) (Sad1/unc-84 protein-like 1)	Homo sapiens (Human)
O94923	D-glucuronyl C5-epimerase (EC 5.1.3.17) (Heparan sulfate C5-epimerase) (Hsepi) (Heparin/heparan sulfate:glucuronic acid C5-epimerase) (Heparosan-N-sulfate-glucuronate 5-epimerase)	Homo sapiens (Human)
O94964	Microtubule cross-linking factor 2 (SOGA family member 1) (Suppressor of glucose by autophagy) (Suppressor of glucose, autophagy-associated protein 1) [Cleaved into: N-terminal form; C-terminal 80 kDa form (80-kDa SOGA fragment)]	Homo sapiens (Human)
O94983	Calmodulin-binding transcription activator 2	Homo sapiens (Human)
O94985	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]	Homo sapiens (Human)
O94993	Transcription factor SOX-30	Homo sapiens (Human)
O95047	Olfactory receptor 2A4 (Olfactory receptor 2A10) (Olfactory receptor OR6-37)	Homo sapiens (Human)
O95049	Tight junction protein ZO-3 (Tight junction protein 3) (Zona occludens protein 3) (Zonula occludens protein 3)	Homo sapiens (Human)
O95125	Zinc finger protein 202 (Zinc finger protein with KRAB and SCAN domains 10)	Homo sapiens (Human)
O95139	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 (Complex I-B17) (CI-B17) (NADH-ubiquinone oxidoreductase B17 subunit)	Homo sapiens (Human)
O95153	Peripheral-type benzodiazepine receptor-associated protein 1 (PRAX-1) (Peripheral benzodiazepine receptor-interacting protein) (PBR-IP) (RIMS-binding protein 1) (RIM-BP1) (TSPO-associated protein 1)	Homo sapiens (Human)
O95154	Aflatoxin B1 aldehyde reductase member 3 (EC 1.-.-.-) (AFB1 aldehyde reductase 2) (AFB1-AR 2)	Homo sapiens (Human)
O95155	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (Homozygously deleted in neuroblastoma 1) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	Homo sapiens (Human)
O95169	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial (Complex I-ASHI) (CI-ASHI) (NADH-ubiquinone oxidoreductase ASHI subunit)	Homo sapiens (Human)
O95208	Epsin-2 (EPS-15-interacting protein 2)	Homo sapiens (Human)
O95237	Lecithin retinol acyltransferase (EC 2.3.1.135) (Phosphatidylcholine--retinol O-acyltransferase)	Homo sapiens (Human)
O95248	Myotubularin-related protein 5 (Inactive phosphatidylinositol 3-phosphatase 5) (SET-binding factor 1) (Sbf1)	Homo sapiens (Human)
O95260	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)	Homo sapiens (Human)
O95274	Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A homolog) (Matrigel-induced gene C4 protein) (MIG-C4)	Homo sapiens (Human)
O95294	RasGAP-activating-like protein 1 (RAS protein activator like 1) (Ras GTPase-activating-like protein)	Homo sapiens (Human)
O95298	NADH dehydrogenase [ubiquinone] 1 subunit C2 (Complex I-B14.5b) (CI-B14.5b) (Human lung cancer oncogene 1 protein) (HLC-1) (NADH-ubiquinone oxidoreductase subunit B14.5b)	Homo sapiens (Human)
O95342	Bile salt export pump (EC 7.6.2.-) (ATP-binding cassette sub-family B member 11)	Homo sapiens (Human)
O95343	Homeobox protein SIX3 (Sine oculis homeobox homolog 3)	Homo sapiens (Human)
O95352	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein)	Homo sapiens (Human)
O95361	Tripartite motif-containing protein 16 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM16) (Estrogen-responsive B box protein)	Homo sapiens (Human)
O95373	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	Homo sapiens (Human)
O95393	Bone morphogenetic protein 10 (BMP-10)	Homo sapiens (Human)
O95394	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3)	Homo sapiens (Human)
